,,
Formosa           ,56508,ok
Sagarmatha        ,56572,ok
Uklun             ,57291,ok
Flegetonte        ,57370,ok
Taiyangshou       ,57399,ok
Denebola,57632,ok
Zavijava          ,57757,ok
Aniara            ,57820,ok
Groombridge 1830,57939,ok
Phad,58001,ok
Tonatiuh          ,58952,ok
δ-Centauri,59196,ok
Alchiba           ,59199,ok
Imai              ,59747,ok
Megrez,59774,ok
Gienah (γ-Corvi),59803,ok
Zaniah            ,60129,ok
Ginan             ,60260,ok
Tupa              ,60644,ok
Acrux (α-Crucis),60718,ok
3C 273,60936,ok
Algorab           ,60965,ok
γ-Crucis,61084,ok
Funi              ,61177,ok
Chara             ,61317,ok
Kraz              ,61359,ok
γ-Centauri,61932,ok
Porrima           ,61941,ok
La Superba        ,62223,ok
Tianyi            ,62423,ok
Mimosa,62434,ok
Alioth,62956,ok
Taiyi             ,63076,ok
Minelauva         ,63090,ok
Cor Caroli,63125,ok
Vindemiatrix,63608,ok
Diadem            ,64241,ok
Mizar,65378,ok
Spica,65474,ok
Alcor,65477,ok
Dofida            ,66047,ok
Liesma            ,66192,ok
Heze              ,66249,ok
ε-Centauri,66657,ok
Alkaid,67301,ok
Muphrid           ,67927,ok
ζ-Centauri,68002,ok
Agena,68702,ok
Thuban,68756,ok
Menkent (θ-Centauri),68933,ok
Kang              ,69427,ok
Arcturus,69673,ok
Syrma             ,69701,ok
Xuange            ,69732,ok
Khambalia         ,69974,ok
Elgafar           ,70755,ok
Proxima,70890,ok
Seginus           ,71075,ok
η-Centauri,71352,ok
α-Centauri,71681,ok
Rigil Kent,71683,ok
α-Lupi,71860,ok
Izar,72105,ok
Monch             ,72339,ok
Merga             ,72487,ok
Kocab,72607,ok
Zubenelgenubi     ,72622,ok
Arcalis           ,72845,ok
Baekdu            ,73136,ok
Nekkar            ,73555,ok
Brachium          ,73714,ok
Zubeneschamali    ,74785,ok
Nikawiy           ,74961,ok
Pherkad           ,75097,ok
Alkalurops        ,75411,ok
Edasich           ,75458,ok
Nusakan           ,75695,ok
Alphekka,76267,ok
Zubenelhakrabi    ,76333,ok
Karaka            ,76351,ok
Unukalhai,77070,ok
Gudja             ,77450,ok
Iklil             ,78104,ok
Fang              ,78265,ok
Dschubba (δ-Scorpii),78401,ok
Acrab             ,78820,ok
Marsic            ,79043,ok
Kamuy             ,79219,ok
Jabbah            ,79374,ok
Sharjah           ,79431,ok
Yed Prior         ,79593,ok
Yed Posterior     ,79882,ok
Hunor             ,80076,ok
Alniyat           ,80112,ok
Athebyne          ,80331,ok
Cujam             ,80463,ok
Timir             ,80687,ok
Antares,80763,ok
Kornephoros       ,80816,ok
Ogma              ,80838,ok
Marfik            ,80883,ok
Rosaliadecastro   ,81022,ok
Paikauhale        ,81266,ok
Atria,82273,ok
Larawag           ,82396,ok
Xamidimura        ,82514,ok
Pipirima          ,82545,ok
Mahsati           ,82651,ok
Rapeto            ,83547,ok
Alrakis           ,83608,ok
Aldhibah          ,83895,ok
Sabik             ,84012,ok
Rasalgethi,84345,ok
Sarin             ,84379,ok
Guniibuu          ,84405,ok
Inquill           ,84787,ok
Rastaban          ,85670,ok
Maasym            ,85693,ok
Lesath            ,85696,ok
Yildun            ,85822,ok
Shaula,85927,ok
Rasalhague,86032,ok
Sargas (θ-Scorpii),86228,ok
Dziban            ,86614,ok
Cebalrai          ,86742,ok
Alruba            ,86782,ok
Cervantes         ,86796,ok
Fuyue             ,87261,ok
Grumium           ,87585,ok
Etamin,87833,ok
Barnard's Star,87937,ok
Pincoya           ,88414,ok
Alnasl            ,88635,ok
Polis             ,89341,ok
Kaus Media        ,89931,ok
Alasia            ,90004,ok
Kaus Australis,90185,ok
Fafnir            ,90344,ok
Kaus Borealis     ,90496,ok
Vega,91262,ok
Xihe              ,91852,ok
Sheliak,92420,ok
Ainalrami         ,92761,ok
Nunki,92855,ok
Kaveh             ,92895,ok
Alya              ,92946,ok
Sulafat           ,93194,ok
Ascella           ,93506,ok
Okab              ,93747,ok
Meridiana         ,94114,ok
Albaldah          ,94141,ok
Altais            ,94376,ok
Aladfar           ,94481,ok
Gumala            ,94645,ok
Belel             ,95124,ok
Arkab Prior       ,95241,ok
Sika              ,95262,ok
Arkab Posterior   ,95294,ok
Rukbat            ,95347,ok
Anser             ,95771,ok
Albireo,95947,ok
Uruk              ,96078,ok
Alsafi            ,96100,ok
Campbell's Star,96295,ok
Sham              ,96757,ok
Fawaris           ,97165,ok
Tarazed,97278,ok
Altair,97649,ok
Libertas          ,97938,ok
Alshain,98036,ok
Terebellum        ,98066,ok
Cyg X-1,98298,ok
Phoenicia         ,99711,ok
Chechia           ,99894,ok
Algedi            ,100064,ok
Alshat            ,100310,ok
Dabih             ,100345,ok
Sadr              ,100453,ok
Peacock,100751,ok
Aldulfin          ,101421,ok
Rotanev           ,101769,ok
Sualocin          ,101958,ok
Deneb,102098,ok
Aljanah           ,102488,ok
Albali            ,102618,ok
Polaris Australis ,104382,ok
Kitalpha          ,104987,ok
Alderamin,105199,ok
Alfirk            ,106032,ok
Sadalsuud         ,106278,ok
Bunda             ,106786,ok
Samaya            ,106824,ok
Nashira           ,106985,ok
Azelfafage        ,107136,ok
Enif,107315,ok
Deneb Algedi      ,107556,ok
Aldhanab          ,108085,ok
Kurhah            ,108917,ok
Sadalmelik,109074,ok
Alnair,109268,ok
Biham             ,109427,ok
Ancha             ,110003,ok
Sadachbia         ,110395,ok
Kruger 60,110893,ok
Situla            ,111710,ok
Homam             ,112029,ok
Tiaki             ,112122,ok
Matar             ,112158,ok
Babcock's Star,112247,ok
Sadalbari         ,112748,ok
Skat              ,113136,ok
Fomalhaut,113368,ok
Scheat,113881,ok
Fumalsamakah      ,113889,ok
Markab,113963,ok
Salm              ,115250,ok
Alkarab           ,115623,ok
Errai             ,116727,ok
Axolotl           ,118319,ok
